island,island_id,sex,gravid,morph,capture_temp,substrate_temp,time_of_capture,scars,ticks,mites,mass,svl,autotomy,lat,long,elevation_m,capture_date,,,,,
naxos,1,m,,o,22.4,28.5,8:40,0,1,15,6.9,63.34,0,37.07996523,25.4908564,334,2022.05.19,,,,,
naxos,3,m,,w,29.3,30.6,9:15,0,1,0,6.7,55.82,1,37.08065084,25.49136892,337,2022.05.19,,,,,
naxos,4,m,,y,19.2,29.1,9:25,2,10,0,9.1,66.86,0,37.08057808,25.49168274,339,2022.05.19,,,,,
naxos,5,m,,y,18.3,20.1,8:26,0,0,0,8.1,65.89,1,37.08044182699276,25.49093903546213,336,2022.05.20,,,,,
naxos,6,m,,y,18.7,22.7,9:48,1,0,0,5.8,58.63,0,37.080506022133356,25.490863933607756,336,2022.05.20,,,,,
naxos,7,m,,o,18.5,22,10:18,7,8,19,6.1,63.54,1,37.08018718572545,25.490914895563023,336,2022.05.20,,,,,
naxos,8,f,y,w,25.3,27.2,10:27,5,0,0,6.3,64.69,1,37.08024710139295,25.491014137294634,334,2022.05.20,,,,,
naxos,9,m,,o,23.5,31.2,10:37,3,4,0,7.8,65.75,1,37.0798099,25.49062183,335,2022.05.20,,,,,
naxos,10,f,y,y,19.1,18.3,8:50,10,0,0,7.4,66.87,0,37.08064748,25.49109403,338,2022.05.20,,,,,
naxos,11,f,y,w,16.1,35.5,9:21,3,0,0,6.4,63.48,1,37.080707355545414,25.490821693134794,338,2022.05.20,,,,,
naxos,13,m,,o,19.2,24.3,9:52,9,2,0,7.7,64.99,0,37.0806797091053,25.491176622632523,338,2022.05.20,,,,,
naxos,15,m,,y,16.1,32.5,10:25,2,0,0,7.9,63.88,1,37.080591975935754,25.49083598208938,339,2022.05.20,,,,,
naxos,16,m,,o,15.2,27.7,10:40,4,4,0,7.8,65.61,1,37.08077992078909,25.491207256370632,335,2022.05.20,,,,,
naxos,17,f,y,o,21.5,28.8,10:52,4,0,0,6.2,64.88,0,37.080852674953185,25.49094976429848,340,2022.05.20,,,,,
naxos,18,f,n,w,26.5,37.9,10:35,4,2,0,5.3,62.03,1,37.07977740409493,25.490822359366938,333,2022.05.21,,,,,
naxos,19,f,y,w,28.9,29.3,9:12,9,3,12,5.2,65.89,1,37.08038619115274,25.490885391264435,334,2022.05.21,,,,,
naxos,20,m,,w,31.9,35.1,10:50,8,0,0,7.3,62.03,1,37.08044182698523,25.490877344637546,334,2022.05.21,,,,,
naxos,21,m,,w,21,31,8:40,9,0,0,5.6,57.79,1,37.07999459933068,25.490694954428097,334,2022.05.21,,,,,
naxos,22,m,,w,30.2,33,8:45,3,0,0,7.6,63.78,1,37.08004167605012,25.4908880734734,332,2022.05.21,,,,,
